image_id,coarse_label, fine_label, coarse_label2
0,0,FC,Rice
1,0,FC,Rice
4,0,FC,Rice
7,0,FC,Rice
10,0,FC,Rice
13,0,FC,Rice
16,0,FC,Rice
23,0,FC,Rice
26,0,FC,Rice
36,0,FC,Rice
39,0,FC,Rice
44,0,FC,Rice
46,0,FC,Rice
49,0,FC,Rice
51,0,FC,Rice
54,0,FC,Rice
58,0,FC,Rice
61,0,FC,Rice
63,0,FC,Rice
66,0,FC,Rice
67,0,FC,Rice
70,0,FC,Rice
75,0,FC,Rice
79,0,FC,Rice
90,0,FC,Rice
97,0,FC,Rice
103,0,FC,Rice
105,0,FC,Rice
107,0,FC,Rice
108,0,FC,Rice
111,0,FC,Rice
112,0,FC,Rice
114,0,FC,Rice
117,0,FC,Rice
118,0,FC,Rice
119,0,FC,Rice
120,0,FC,Rice
121,0,FC,Rice
122,0,FC,Rice
123,0,FC,Rice
125,0,FC,Rice
127,0,FC,Rice
134,0,FC,Rice
139,0,FC,Rice
140,0,FC,Rice
142,0,FC,Rice
143,0,FC,Rice
144,0,FC,Rice
150,0,FC,Rice
154,0,FC,Rice
158,0,FC,Rice
167,0,FC,Rice
170,0,FC,Rice
176,0,FC,Rice
177,0,FC,Rice
178,0,FC,Rice
181,0,FC,Rice
192,0,FC,Rice
204,0,FC,Rice
207,0,FC,Rice
211,0,FC,Rice
218,0,FC,Rice
223,0,FC,Rice
225,0,FC,Rice
232,0,FC,Rice
236,0,FC,Rice
237,0,FC,Rice
238,0,FC,Rice
247,0,FC,Rice
251,0,FC,Rice
255,0,FC,Rice
256,0,FC,Rice
259,0,FC,Rice
261,0,FC,Rice
264,0,FC,Rice
265,0,FC,Rice
266,0,FC,Rice
272,0,FC,Rice
274,0,FC,Rice
279,0,FC,Rice
282,0,FC,Rice
283,0,FC,Rice
287,0,FC,Rice
288,0,FC,Rice
300,0,FC,Rice
307,0,FC,Rice
309,0,FC,Rice
310,0,FC,Rice
311,0,FC,Rice
317,0,FC,Rice
318,0,FC,Rice
322,0,FC,Rice
323,0,FC,Rice
326,0,FC,Rice
331,0,FC,Rice
333,0,FC,Rice
336,0,FC,Rice
339,0,FC,Rice
341,0,FC,Rice
342,0,FC,Rice
343,0,FC,Rice
345,0,FC,Rice
349,0,FC,Rice
351,0,FC,Rice
352,0,FC,Rice
357,0,FC,Rice
358,0,FC,Rice
364,0,FC,Rice
369,0,FC,Rice
375,0,FC,Rice
376,0,FC,Rice
377,0,FC,Rice
383,0,FC,Rice
386,0,FC,Rice
390,0,FC,Rice
391,0,FC,Rice
394,0,FC,Rice
404,0,FC,Rice
405,0,FC,Rice
406,0,FC,Rice
407,0,FC,Rice
409,0,FC,Rice
410,0,FC,Rice
412,0,FC,Rice
413,0,FC,Rice
416,0,FC,Rice
418,0,FC,Rice
421,0,FC,Rice
422,0,FC,Rice
423,0,FC,Rice
424,0,FC,Rice
430,0,FC,Rice
431,0,FC,Rice
435,0,FC,Rice
438,0,FC,Rice
442,0,FC,Rice
443,0,FC,Rice
448,0,FC,Rice
451,0,FC,Rice
456,0,FC,Rice
458,0,FC,Rice
460,0,FC,Rice
461,0,FC,Rice
470,0,FC,Rice
474,0,FC,Rice
479,0,FC,Rice
483,0,FC,Rice
485,0,FC,Rice
486,0,FC,Rice
490,0,FC,Rice
492,0,FC,Rice
495,0,FC,Rice
500,0,FC,Rice
502,0,FC,Rice
505,0,FC,Rice
507,0,FC,Rice
508,0,FC,Rice
509,0,FC,Rice
512,0,FC,Rice
516,0,FC,Rice
524,0,FC,Rice
525,0,FC,Rice
527,0,FC,Rice
528,0,FC,Rice
532,0,FC,Rice
536,0,FC,Rice
540,0,FC,Rice
541,0,FC,Rice
544,0,FC,Rice
547,0,FC,Rice
548,0,FC,Rice
551,0,FC,Rice
552,0,FC,Rice
558,0,FC,Rice
559,0,FC,Rice
562,0,FC,Rice
563,0,FC,Rice
565,0,FC,Rice
569,0,FC,Rice
572,0,FC,Rice
576,0,FC,Rice
580,0,FC,Rice
582,0,FC,Rice
583,0,FC,Rice
585,0,FC,Rice
592,0,FC,Rice
593,0,FC,Rice
594,0,FC,Rice
600,0,FC,Rice
608,0,FC,Rice
614,0,FC,Rice
615,0,FC,Rice
622,0,FC,Rice
623,0,FC,Rice
624,0,FC,Rice
625,0,FC,Rice
627,0,FC,Rice
628,0,FC,Rice
633,0,FC,Rice
634,0,FC,Rice
635,0,FC,Rice
636,0,FC,Rice
637,0,FC,Rice
639,0,FC,Rice
644,0,FC,Rice
649,0,FC,Rice
651,0,FC,Rice
656,0,FC,Rice
658,0,FC,Rice
660,0,FC,Rice
664,0,FC,Rice
666,0,FC,Rice
672,0,FC,Rice
687,0,FC,Rice
692,0,FC,Rice
698,0,FC,Rice
701,0,FC,Rice
703,0,FC,Rice
705,0,FC,Rice
716,0,FC,Rice
717,0,FC,Rice
718,0,FC,Rice
719,0,FC,Rice
722,0,FC,Rice
726,0,FC,Rice
727,0,FC,Rice
729,0,FC,Rice
731,0,FC,Rice
732,0,FC,Rice
736,0,FC,Rice
741,0,FC,Rice
743,0,FC,Rice
745,0,FC,Rice
747,0,FC,Rice
751,0,FC,Rice
752,0,FC,Rice
753,0,FC,Rice
757,0,FC,Rice
758,0,FC,Rice
762,0,FC,Rice
767,0,FC,Rice
769,0,FC,Rice
772,0,FC,Rice
775,0,FC,Rice
778,0,FC,Rice
779,0,FC,Rice
782,0,FC,Rice
787,0,FC,Rice
788,0,FC,Rice
789,0,FC,Rice
790,0,FC,Rice
792,0,FC,Rice
793,0,FC,Rice
799,0,FC,Rice
800,0,FC,Rice
801,0,FC,Rice
807,0,FC,Rice
817,0,FC,Rice
818,0,FC,Rice
825,0,FC,Rice
827,0,FC,Rice
832,0,FC,Rice
833,0,FC,Rice
840,0,FC,Rice
842,0,FC,Rice
843,0,FC,Rice
846,0,FC,Rice
850,0,FC,Rice
859,0,FC,Rice
871,0,FC,Rice
872,0,FC,Rice
873,0,FC,Rice
876,0,FC,Rice
880,0,FC,Rice
885,0,FC,Rice
890,0,FC,Rice
893,0,FC,Rice
896,0,FC,Rice
897,0,FC,Rice
898,0,FC,Rice
900,0,FC,Rice
905,0,FC,Rice
907,0,FC,Rice
908,0,FC,Rice
912,0,FC,Rice
916,0,FC,Rice
921,0,FC,Rice
923,0,FC,Rice
933,0,FC,Rice
936,0,FC,Rice
940,0,FC,Rice
941,0,FC,Rice
942,0,FC,Rice
947,0,FC,Rice
953,0,FC,Rice
958,0,FC,Rice
961,0,FC,Rice
970,0,FC,Rice
975,0,FC,Rice
980,0,FC,Rice
983,0,FC,Rice
987,0,FC,Rice
991,0,FC,Rice
992,0,FC,Rice
1004,0,FC,Rice
1007,0,FC,Rice
1009,0,FC,Rice
1016,0,FC,Rice
1024,0,FC,Rice
1025,0,FC,Rice
1026,0,FC,Rice
1031,0,FC,Rice
1033,0,FC,Rice
1034,0,FC,Rice
1035,0,FC,Rice
1037,0,FC,Rice
1042,0,FC,Rice
1044,0,FC,Rice
1047,0,FC,Rice
1049,0,FC,Rice
1069,0,FC,Rice
1071,0,FC,Rice
1074,0,FC,Rice
1078,0,FC,Rice
1079,0,FC,Rice
1094,0,FC,Rice
1100,0,FC,Rice
1101,0,FC,Rice
1102,0,FC,Rice
1105,0,FC,Rice
1107,0,FC,Rice
1109,0,FC,Rice
1111,0,FC,Rice
1112,0,FC,Rice
1114,0,FC,Rice
1117,1,FC,Rice
1118,1,FC,Rice
1119,1,FC,Rice
1120,1,FC,Rice
1123,1,FC,Rice
1127,1,FC,Rice
1128,1,FC,Rice
1129,1,FC,Rice
